S. No.,Date,Region,Confirmed Cases,Active Cases,Cured/Discharged,Death
12110,04/05/2021,Rajasthan,651247,194371,452164,4712
12111,05/05/2021,Rajasthan,668221,197045,466310,4866
12112,06/05/2021,Rajasthan,685036,196683,483332,5021
12113,07/05/2021,Rajasthan,702568,198010,499376,5182
12114,08/05/2021,Rajasthan,720799,199147,516306,5346
12115,09/05/2021,Rajasthan,738786,199307,533973,5506
12116,10/05/2021,Rajasthan,756707,200189,550853,5665
12117,11/05/2021,Rajasthan,773194,203017,564352,5825
12118,12/05/2021,Rajasthan,789274,205730,577550,5994
12119,13/05/2021,Rajasthan,805658,209110,590390,6158
12120,24/05/2020,Sikkim,1,1,0,0
12121,25/05/2020,Sikkim,1,1,0,0
12122,26/05/2020,Sikkim,1,1,0,0
12123,27/05/2020,Sikkim,1,1,0,0
12124,28/05/2020,Sikkim,1,1,0,0
12125,29/05/2020,Sikkim,1,1,0,0
12126,30/05/2020,Sikkim,1,1,0,0
12127,31/05/2020,Sikkim,1,1,0,0
12128,01/06/2020,Sikkim,1,1,0,0
12129,02/06/2020,Sikkim,1,1,0,0
12130,03/06/2020,Sikkim,1,1,0,0
12131,04/06/2020,Sikkim,2,2,0,0
12132,05/06/2020,Sikkim,2,2,0,0
12133,06/06/2020,Sikkim,3,3,0,0
12134,07/06/2020,Sikkim,7,7,0,0
12135,08/06/2020,Sikkim,7,7,0,0
12136,09/06/2020,Sikkim,7,7,0,0
12137,10/06/2020,Sikkim,13,13,0,0
12138,11/06/2020,Sikkim,13,13,0,0
12139,12/06/2020,Sikkim,14,12,2,0
12140,13/06/2020,Sikkim,63,61,2,0
12141,14/06/2020,Sikkim,63,59,4,0
12142,15/06/2020,Sikkim,68,64,4,0
12143,16/06/2020,Sikkim,68,64,4,0
12144,17/06/2020,Sikkim,70,66,4,0
12145,18/06/2020,Sikkim,70,66,4,0
12146,19/06/2020,Sikkim,70,65,5,0
12147,20/06/2020,Sikkim,70,65,5,0
12148,21/06/2020,Sikkim,70,45,25,0
12149,22/06/2020,Sikkim,78,53,25,0
12150,23/06/2020,Sikkim,78,49,29,0
12151,24/06/2020,Sikkim,79,50,29,0
12152,25/06/2020,Sikkim,84,45,39,0
12153,26/06/2020,Sikkim,85,46,39,0
12154,27/06/2020,Sikkim,86,47,39,0
12155,28/06/2020,Sikkim,87,41,46,0
12156,29/06/2020,Sikkim,88,39,49,0
12157,30/06/2020,Sikkim,88,38,50,0
12158,01/07/2020,Sikkim,89,37,52,0
12159,02/07/2020,Sikkim,101,48,53,0
12160,03/07/2020,Sikkim,102,49,53,0
12161,04/07/2020,Sikkim,102,49,53,0
12162,05/07/2020,Sikkim,103,45,58,0
12163,06/07/2020,Sikkim,123,62,61,0
12164,07/07/2020,Sikkim,125,60,65,0
12165,08/07/2020,Sikkim,125,55,70,0
12166,09/07/2020,Sikkim,133,62,71,0
12167,10/07/2020,Sikkim,134,62,72,0
12168,11/07/2020,Sikkim,134,54,80,0
12169,12/07/2020,Sikkim,151,71,80,0
12170,13/07/2020,Sikkim,153,72,81,0
12171,14/07/2020,Sikkim,192,106,86,0
12172,15/07/2020,Sikkim,209,122,87,0
12173,16/07/2020,Sikkim,220,133,87,0
12174,17/07/2020,Sikkim,243,155,88,0
12175,18/07/2020,Sikkim,266,176,90,0
12176,19/07/2020,Sikkim,275,185,90,0
12177,20/07/2020,Sikkim,283,191,92,0
12178,21/07/2020,Sikkim,305,213,92,0
12179,22/07/2020,Sikkim,330,222,108,0
12180,23/07/2020,Sikkim,438,326,112,0
12181,24/07/2020,Sikkim,460,338,122,0
12182,25/07/2020,Sikkim,477,335,142,0
12183,26/07/2020,Sikkim,499,357,142,0
12184,27/07/2020,Sikkim,545,397,148,0
12185,28/07/2020,Sikkim,555,380,174,1
12186,29/07/2020,Sikkim,579,392,186,1
12187,30/07/2020,Sikkim,596,397,198,1
12188,31/07/2020,Sikkim,610,395,214,1
12189,01/08/2020,Sikkim,639,407,231,1
12190,02/08/2020,Sikkim,650,380,269,1
12191,03/08/2020,Sikkim,658,368,289,1
12192,04/08/2020,Sikkim,688,390,297,1
12193,05/08/2020,Sikkim,783,483,299,1
12194,06/08/2020,Sikkim,800,496,303,1
12195,07/08/2020,Sikkim,829,475,353,1
12196,08/08/2020,Sikkim,854,447,406,1
12197,09/08/2020,Sikkim,860,389,470,1
12198,10/08/2020,Sikkim,866,371,494,1
12199,11/08/2020,Sikkim,910,399,510,1
12200,12/08/2020,Sikkim,913,378,534,1
12201,13/08/2020,Sikkim,930,379,550,1
12202,14/08/2020,Sikkim,931,349,581,1
12203,15/08/2020,Sikkim,1080,456,623,1
12204,16/08/2020,Sikkim,1148,486,661,1
12205,17/08/2020,Sikkim,1167,493,673,1
12206,18/08/2020,Sikkim,1187,485,701,1
12207,19/08/2020,Sikkim,1207,450,755,2
12208,20/08/2020,Sikkim,1232,440,789,3
12209,21/08/2020,Sikkim,1290,460,827,3
12210,22/08/2020,Sikkim,1336,499,834,3
12211,23/08/2020,Sikkim,1381,507,871,3
12212,24/08/2020,Sikkim,1403,529,871,3
12213,25/08/2020,Sikkim,1446,509,934,3
12214,26/08/2020,Sikkim,1475,418,1054,3
12215,27/08/2020,Sikkim,1486,407,1076,3
12216,28/08/2020,Sikkim,1542,388,1151,3
12217,29/08/2020,Sikkim,1576,389,1184,3
12218,30/08/2020,Sikkim,1602,404,1195,3
12219,31/08/2020,Sikkim,1627,404,1220,3
12220,01/09/2020,Sikkim,1652,424,1225,3
12221,02/09/2020,Sikkim,1670,429,1237,4
12222,03/09/2020,Sikkim,1704,431,1269,4
12223,04/09/2020,Sikkim,1738,430,1304,4
12224,05/09/2020,Sikkim,1843,509,1329,5
12225,06/09/2020,Sikkim,1901,549,1347,5
12226,07/09/2020,Sikkim,1910,534,1371,5
12227,08/09/2020,Sikkim,1939,538,1396,5
12228,09/09/2020,Sikkim,1958,538,1413,7
12229,10/09/2020,Sikkim,1989,553,1429,7
12230,11/09/2020,Sikkim,2009,532,1470,7
12231,12/09/2020,Sikkim,2026,532,1486,8
12232,13/09/2020,Sikkim,2055,541,1503,11
12233,14/09/2020,Sikkim,2086,567,1505,14
12234,15/09/2020,Sikkim,2119,582,1521,16
12235,16/09/2020,Sikkim,2173,464,1690,19
12236,17/09/2020,Sikkim,2221,480,1722,19
12237,18/09/2020,Sikkim,2274,463,1789,22
12238,19/09/2020,Sikkim,2303,422,1857,24
12239,20/09/2020,Sikkim,2423,426,1972,25
12240,21/09/2020,Sikkim,2472,469,1975,28
12241,22/09/2020,Sikkim,2528,513,1986,29
12242,23/09/2020,Sikkim,2594,556,2009,29
12243,24/09/2020,Sikkim,2628,575,2023,30
12244,25/09/2020,Sikkim,2692,607,2054,31
12245,26/09/2020,Sikkim,2785,679,2075,31
12246,27/09/2020,Sikkim,2833,705,2097,31
12247,28/09/2020,Sikkim,2871,692,2146,33
12248,29/09/2020,Sikkim,2896,698,2164,34
12249,30/09/2020,Sikkim,2937,667,2235,35
12250,01/10/2020,Sikkim,3012,672,2303,37
12251,02/10/2020,Sikkim,3050,636,2375,39
12252,03/10/2020,Sikkim,3092,642,2409,41
12253,04/10/2020,Sikkim,3131,640,2448,43
12254,05/10/2020,Sikkim,3174,649,2480,45
12255,06/10/2020,Sikkim,3191,598,2547,46
12256,07/10/2020,Sikkim,3216,580,2587,49
12257,08/10/2020,Sikkim,3234,570,2615,49
12258,09/10/2020,Sikkim,3246,545,2650,51
12259,10/10/2020,Sikkim,3278,504,2721,53
12260,11/10/2020,Sikkim,3321,450,2816,55
12261,12/10/2020,Sikkim,3359,384,2920,55
12262,13/10/2020,Sikkim,3366,384,2925,57
12263,14/10/2020,Sikkim,3417,344,3014,59
12264,15/10/2020,Sikkim,3459,325,3075,59
12265,16/10/2020,Sikkim,3500,312,3129,59
12266,17/10/2020,Sikkim,3531,295,3177,59
12267,18/10/2020,Sikkim,3567,275,3233,59
12268,19/10/2020,Sikkim,3597,272,3265,60
12269,20/10/2020,Sikkim,3601,263,3276,62
12270,21/10/2020,Sikkim,3643,254,3326,63
12271,22/10/2020,Sikkim,3677,253,3361,63
12272,23/10/2020,Sikkim,3727,254,3410,63
12273,24/10/2020,Sikkim,3770,242,3465,63
12274,25/10/2020,Sikkim,3819,266,3490,63
12275,26/10/2020,Sikkim,3835,246,3525,64
12276,27/10/2020,Sikkim,3840,245,3530,65
12277,28/10/2020,Sikkim,3863,262,3534,67
12278,29/10/2020,Sikkim,3875,263,3545,67
12279,30/10/2020,Sikkim,3893,268,3558,67
12280,31/10/2020,Sikkim,3913,254,3591,68
12281,01/11/2020,Sikkim,3940,251,3617,72
12282,02/11/2020,Sikkim,3958,234,3651,73
12283,03/11/2020,Sikkim,3967,239,3655,73
12284,04/11/2020,Sikkim,4004,271,3660,73
12285,05/11/2020,Sikkim,4067,254,3740,73
12286,06/11/2020,Sikkim,4093,240,3778,75
12287,07/11/2020,Sikkim,4144,283,3786,75
12288,08/11/2020,Sikkim,4195,314,3805,76
12289,09/11/2020,Sikkim,4245,273,3894,78
12290,10/11/2020,Sikkim,4257,268,3910,79
12291,11/11/2020,Sikkim,4308,305,3923,80
12292,12/11/2020,Sikkim,4344,291,3971,82
12293,13/11/2020,Sikkim,4368,264,4019,85
12294,14/11/2020,Sikkim,4415,293,4036,86
12295,15/11/2020,Sikkim,4456,296,4073,87
12296,16/11/2020,Sikkim,4498,284,4125,89
12297,17/11/2020,Sikkim,4521,293,4137,91
12298,18/11/2020,Sikkim,4548,312,4144,92
12299,19/11/2020,Sikkim,4577,300,4182,95
12300,20/11/2020,Sikkim,4609,296,4218,95
12301,21/11/2020,Sikkim,4632,265,4271,96
12302,22/11/2020,Sikkim,4691,289,4304,98
12303,23/11/2020,Sikkim,4722,278,4345,99
12304,24/11/2020,Sikkim,4736,230,4406,100
12305,25/11/2020,Sikkim,4777,238,4437,102
12306,26/11/2020,Sikkim,4819,236,4481,102
12307,27/11/2020,Sikkim,4871,268,4501,102
12308,28/11/2020,Sikkim,4908,264,4541,103
12309,29/11/2020,Sikkim,4967,288,4572,107
12310,30/11/2020,Sikkim,4985,268,4609,108
12311,01/12/2020,Sikkim,4989,248,4632,109
12312,02/12/2020,Sikkim,5031,284,4637,110
12313,03/12/2020,Sikkim,5072,300,4661,111
12314,04/12/2020,Sikkim,5100,320,4669,111
12315,05/12/2020,Sikkim,5147,358,4677,112
12316,06/12/2020,Sikkim,5168,367,4686,115
12317,07/12/2020,Sikkim,5197,387,4695,115
12318,08/12/2020,Sikkim,5203,371,4715,117
12319,09/12/2020,Sikkim,5215,363,4735,117
12320,10/12/2020,Sikkim,5239,368,4754,117
12321,11/12/2020,Sikkim,5264,367,4779,118
12322,12/12/2020,Sikkim,5291,363,4810,118
12323,13/12/2020,Sikkim,5316,364,4834,118
12324,14/12/2020,Sikkim,5338,356,4864,118
12325,15/12/2020,Sikkim,5340,303,4919,118
12326,17/12/2020,Sikkim,5398,306,4971,121
12327,18/12/2020,Sikkim,5406,294,4990,122
12328,19/12/2020,Sikkim,5439,304,5012,123
12329,20/12/2020,Sikkim,5561,401,5037,123
12330,21/12/2020,Sikkim,5573,374,5075,124
12331,22/12/2020,Sikkim,5576,360,5092,124
12332,23/12/2020,Sikkim,5610,378,5108,124
12333,24/12/2020,Sikkim,5632,397,5110,125
12334,25/12/2020,Sikkim,5664,420,5119,125
12335,26/12/2020,Sikkim,5684,417,5142,125
12336,27/12/2020,Sikkim,5799,517,5157,125
12337,28/12/2020,Sikkim,5845,547,5173,125
12338,29/12/2020,Sikkim,5845,531,5188,126
12339,30/12/2020,Sikkim,5864,537,5201,126
12340,31/12/2020,Sikkim,5877,532,5218,127
12341,03/01/2021,Sikkim,5911,530,5252,129
12342,04/01/2021,Sikkim,5920,506,5285,129
12343,05/01/2021,Sikkim,5921,485,5307,129
12344,06/01/2021,Sikkim,5938,493,5316,129
12345,07/01/2021,Sikkim,5951,464,5358,129
12346,08/01/2021,Sikkim,5965,465,5371,129
12347,09/01/2021,Sikkim,5979,393,5457,129
12348,10/01/2021,Sikkim,5984,369,5486,129
12349,11/01/2021,Sikkim,5988,351,5508,129
12350,12/01/2021,Sikkim,5989,322,5538,129
12351,13/01/2021,Sikkim,5996,313,5554,129
12352,14/01/2021,Sikkim,6004,311,5564,129
12353,15/01/2021,Sikkim,6011,162,5719,130
12354,16/01/2021,Sikkim,6024,163,5731,130
12355,17/01/2021,Sikkim,6029,158,5741,130
12356,18/01/2021,Sikkim,6038,161,5747,130
12357,19/01/2021,Sikkim,6038,152,5756,130
12358,20/01/2021,Sikkim,6052,156,5765,131
12359,21/01/2021,Sikkim,6057,160,5766,131
12360,22/01/2021,Sikkim,6062,148,5783,131
12361,23/01/2021,Sikkim,6063,140,5792,131
12362,24/01/2021,Sikkim,6068,134,5802,132
12363,25/01/2021,Sikkim,6071,127,5811,133
12364,27/01/2021,Sikkim,6078,104,5841,133
12365,28/01/2021,Sikkim,6079,102,5844,133
12366,29/01/2021,Sikkim,6084,104,5847,133
12367,30/01/2021,Sikkim,6085,97,5855,133
12368,31/01/2021,Sikkim,6088,94,5861,133
12369,01/02/2021,Sikkim,6090,86,5870,134
12370,02/02/2021,Sikkim,6091,82,5874,135
12371,03/02/2021,Sikkim,6096,85,5876,135
12372,04/02/2021,Sikkim,6098,86,5877,135
12373,05/02/2021,Sikkim,6103,82,5886,135
12374,06/02/2021,Sikkim,6105,77,5893,135
12375,07/02/2021,Sikkim,6108,75,5898,135
12376,08/02/2021,Sikkim,6110,70,5905,135
12377,09/02/2021,Sikkim,6110,67,5908,135
12378,10/02/2021,Sikkim,6110,63,5912,135
12379,11/02/2021,Sikkim,6111,60,5916,135
12380,12/02/2021,Sikkim,6113,62,5916,135
12381,13/02/2021,Sikkim,6116,61,5920,135
12382,14/02/2021,Sikkim,6116,59,5922,135
12383,15/02/2021,Sikkim,6118,56,5927,135
12384,16/02/2021,Sikkim,6118,54,5929,135
12385,17/02/2021,Sikkim,6121,56,5930,135
12386,18/02/2021,Sikkim,6121,54,5932,135
12387,19/02/2021,Sikkim,6126,58,5933,135
12388,20/02/2021,Sikkim,6127,54,5938,135
12389,21/02/2021,Sikkim,6128,53,5940,135
12390,22/02/2021,Sikkim,6132,52,5945,135
12391,23/02/2021,Sikkim,6132,49,5948,135
12392,24/02/2021,Sikkim,6132,47,5950,135
12393,25/02/2021,Sikkim,6132,47,5950,135
12394,26/02/2021,Sikkim,6133,43,5955,135
12395,27/02/2021,Sikkim,6135,45,5955,135
12396,01/03/2021,Sikkim,6145,46,5964,135
12397,02/03/2021,Sikkim,6145,45,5965,135
12398,03/03/2021,Sikkim,6147,37,5975,135
12399,04/03/2021,Sikkim,6150,29,5986,135
12400,06/03/2021,Sikkim,6157,35,5987,135
12401,07/03/2021,Sikkim,6167,44,5988,135
12402,08/03/2021,Sikkim,6174,50,5989,135
12403,09/03/2021,Sikkim,6174,50,5989,135
12404,10/03/2021,Sikkim,6175,50,5990,135
12405,11/03/2021,Sikkim,6178,49,5994,135
12406,13/03/2021,Sikkim,6183,54,5994,135
12407,14/03/2021,Sikkim,6184,47,6002,135
12408,15/03/2021,Sikkim,6184,46,6003,135
12409,16/03/2021,Sikkim,6184,41,6008,135
12410,17/03/2021,Sikkim,6191,44,6012,135
12411,18/03/2021,Sikkim,6194,46,6013,135
12412,19/03/2021,Sikkim,6196,48,6013,135
12413,20/03/2021,Sikkim,6199,49,6015,135
12414,21/03/2021,Sikkim,6204,53,6016,135
12415,22/03/2021,Sikkim,6206,54,6017,135
12416,23/03/2021,Sikkim,6206,49,6022,135
12417,24/03/2021,Sikkim,6208,42,6031,135
12418,25/03/2021,Sikkim,6210,43,6032,135
12419,27/03/2021,Sikkim,6215,41,6039,135
12420,28/03/2021,Sikkim,6226,50,6041,135
12421,29/03/2021,Sikkim,6227,44,6048,135
12422,30/03/2021,Sikkim,6227,43,6049,135
12423,31/03/2021,Sikkim,6233,48,6050,135
12424,01/04/2021,Sikkim,6235,47,6053,135
12425,02/04/2021,Sikkim,6241,46,6060,135
12426,03/04/2021,Sikkim,6245,46,6064,135
12427,04/04/2021,Sikkim,6251,48,6068,135
12428,05/04/2021,Sikkim,6257,51,6071,135
12429,06/04/2021,Sikkim,6263,56,6071,136
12430,07/04/2021,Sikkim,6286,65,6085,136
12431,08/04/2021,Sikkim,6317,95,6086,136
12432,09/04/2021,Sikkim,6323,97,6090,136
12433,10/04/2021,Sikkim,6329,101,6092,136
12434,11/04/2021,Sikkim,6351,116,6099,136
12435,12/04/2021,Sikkim,6405,169,6100,136
12436,13/04/2021,Sikkim,6410,161,6113,136
12437,14/04/2021,Sikkim,6435,175,6124,136
12438,15/04/2021,Sikkim,6456,193,6127,136
12439,16/04/2021,Sikkim,6497,229,6132,136
12440,17/04/2021,Sikkim,6519,241,6142,136
12441,18/04/2021,Sikkim,6591,305,6150,136
12442,19/04/2021,Sikkim,6696,399,6161,136
12443,20/04/2021,Sikkim,6705,404,6165,136
12444,21/04/2021,Sikkim,6796,488,6172,136
12445,22/04/2021,Sikkim,6846,536,6174,136
12446,23/04/2021,Sikkim,6970,640,6193,137
12447,24/04/2021,Sikkim,7037,693,6207,137
12448,25/04/2021,Sikkim,7158,798,6223,137
12449,26/04/2021,Sikkim,7306,934,6234,138
12450,27/04/2021,Sikkim,7329,928,6261,140
12451,28/04/2021,Sikkim,7426,982,6302,142
12452,29/04/2021,Sikkim,7577,1106,6328,143
12453,30/04/2021,Sikkim,7747,1247,6354,146
12454,01/05/2021,Sikkim,7952,1432,6373,147
12455,02/05/2021,Sikkim,8211,1647,6416,148
12456,03/05/2021,Sikkim,8441,1808,6484,149
12457,04/05/2021,Sikkim,8468,1723,6595,150
12458,05/05/2021,Sikkim,8698,1930,6617,151
12459,06/05/2021,Sikkim,8919,2050,6714,155
12460,07/05/2021,Sikkim,9183,2256,6769,158
12461,08/05/2021,Sikkim,9451,2398,6893,160
12462,09/05/2021,Sikkim,9651,2528,6958,165
12463,10/05/2021,Sikkim,9878,2637,7074,167
12464,11/05/2021,Sikkim,9924,2540,7215,169
12465,12/05/2021,Sikkim,10165,2739,7249,177
12466,13/05/2021,Sikkim,10392,2866,7343,183
12467,12/03/2020,State assignment pending,0,0,0,0
12468,13/03/2020,State assignment pending,0,0,0,0
12469,14/03/2020,State assignment pending,0,0,0,0
12470,15/03/2020,State assignment pending,0,0,0,0
12471,16/03/2020,State assignment pending,0,0,0,0
12472,17/03/2020,State assignment pending,0,0,0,0
12473,18/03/2020,State assignment pending,0,0,0,0
12474,19/03/2020,State assignment pending,0,0,0,0
12475,20/03/2020,State assignment pending,0,0,0,0
12476,21/03/2020,State assignment pending,0,0,0,0
12477,22/03/2020,State assignment pending,0,0,0,0
12478,23/03/2020,State assignment pending,0,0,0,0
12479,24/03/2020,State assignment pending,0,0,0,0
12480,25/03/2020,State assignment pending,0,0,0,0
12481,26/03/2020,State assignment pending,0,0,0,0
12482,27/03/2020,State assignment pending,0,0,0,0
12483,28/03/2020,State assignment pending,0,0,0,0
12484,29/03/2020,State assignment pending,0,0,0,0
12485,30/03/2020,State assignment pending,0,0,0,0
12486,31/03/2020,State assignment pending,38,38,0,0
12487,03/04/2020,State assignment pending,18,18,,
12488,01/05/2020,State assignment pending,291,291,0,0
12489,02/05/2020,State assignment pending,179,179,0,0
12490,03/05/2020,State assignment pending,124,124,0,0
12491,16/05/2020,State assignment pending,230,230,0,0
12492,17/05/2020,State assignment pending,290,290,0,0
12493,18/05/2020,State assignment pending,410,410,0,0
12494,19/05/2020,State assignment pending,814,814,0,0
12495,20/05/2020,State assignment pending,1096,1096,0,0
12496,21/05/2020,State assignment pending,1403,1403,0,0
12497,22/05/2020,State assignment pending,1620,1620,0,0
12498,23/05/2020,State assignment pending,1899,1899,0,0
12499,24/05/2020,State assignment pending,2338,2338,0,0
12500,25/05/2020,State assignment pending,2642,2642,0,0
12501,26/05/2020,State assignment pending,2970,2970,0,0
12502,27/05/2020,State assignment pending,4013,4013,0,0
12503,28/05/2020,State assignment pending,4332,4332,0,0
12504,29/05/2020,State assignment pending,4673,4673,0,0
12505,30/05/2020,State assignment pending,5043,5043,0,0
12506,31/05/2020,State assignment pending,5491,5491,0,0
12507,01/06/2020,State assignment pending,5630,5630,0,0
12508,02/06/2020,State assignment pending,6414,6414,0,0
12509,03/06/2020,State assignment pending,7123,7123,0,0
12510,04/06/2020,State assignment pending,7483,7483,0,0
12511,05/06/2020,State assignment pending,7610,7610,0,0
12512,06/06/2020,State assignment pending,8192,8192,0,0
12513,07/06/2020,State assignment pending,8605,8605,0,0
12514,08/06/2020,State assignment pending,9189,9189,0,0
12515,09/06/2020,State assignment pending,8803,8803,0,0
12516,10/06/2020,State assignment pending,9227,9227,0,0
12517,11/06/2020,State assignment pending,8931,8931,0,0
12518,12/06/2020,State assignment pending,8315,8315,0,0
12519,13/06/2020,State assignment pending,7984,7984,0,0
12520,14/06/2020,State assignment pending,7436,7436,0,0
12521,15/06/2020,State assignment pending,6972,6972,0,0
12522,16/06/2020,State assignment pending,7684,7684,0,0
12523,17/06/2020,State assignment pending,8273,8273,0,0
12524,18/06/2020,State assignment pending,8703,8703,0,0
12525,19/06/2020,State assignment pending,8927,8927,0,0
12526,20/06/2020,State assignment pending,9265,9265,0,0
12527,21/06/2020,State assignment pending,9127,9127,0,0
12528,22/06/2020,State assignment pending,7832,7832,0,0
12529,23/06/2020,State assignment pending,8015,8015,0,0
12530,24/06/2020,State assignment pending,8141,8141,0,0
12531,25/06/2020,State assignment pending,8493,8493,0,0
12532,26/06/2020,State assignment pending,8123,8123,0,0
12533,27/06/2020,State assignment pending,8023,8023,0,0
12534,28/06/2020,State assignment pending,7839,7839,0,0
12535,29/06/2020,State assignment pending,7285,7285,0,0
12536,30/06/2020,State assignment pending,7004,7004,0,0
12537,01/07/2020,State assignment pending,6915,6915,0,0
12538,02/07/2020,State assignment pending,6832,6832,0,0
12539,03/07/2020,State assignment pending,6031,6031,0,0
12540,04/07/2020,State assignment pending,4999,4999,0,0
12541,05/07/2020,State assignment pending,4629,4629,0,0
12542,06/07/2020,State assignment pending,4913,4913,0,0
12543,07/07/2020,State assignment pending,5034,5034,0,0
12544,08/07/2020,State assignment pending,5018,5018,0,0
12545,09/07/2020,State assignment pending,4385,4385,0,0
12546,10/07/2020,State assignment pending,4161,4161,0,0
12547,11/07/2020,State assignment pending,3416,3416,0,0
12548,12/07/2020,State assignment pending,3024,3024,0,0
12549,13/07/2020,State assignment pending,2358,2358,0,0
12550,14/07/2020,State assignment pending,2179,2179,0,0
12551,15/07/2020,State assignment pending,1524,1524,0,0
12552,16/07/2020,State assignment pending,1285,1285,0,0
12553,17/07/2020,State assignment pending,531,531,0,0
12554,18/07/2020,State assignment pending,163,163,0,0
12555,12/03/2020,Tamil Nadu,1,1,0,0
12556,13/03/2020,Tamil Nadu,1,1,0,0
12557,14/03/2020,Tamil Nadu,1,1,0,0
12558,15/03/2020,Tamil Nadu,1,1,0,0
12559,16/03/2020,Tamil Nadu,1,1,0,0
12560,17/03/2020,Tamil Nadu,1,1,0,0
12561,18/03/2020,Tamil Nadu,1,1,0,0
12562,19/03/2020,Tamil Nadu,2,1,1,0
12563,20/03/2020,Tamil Nadu,3,2,1,0
12564,21/03/2020,Tamil Nadu,3,2,1,0
12565,22/03/2020,Tamil Nadu,7,6,1,0
12566,23/03/2020,Tamil Nadu,9,8,1,0
12567,24/03/2020,Tamil Nadu,12,11,1,0
12568,25/03/2020,Tamil Nadu,15,14,1,0
12569,26/03/2020,Tamil Nadu,26,24,1,1
12570,27/03/2020,Tamil Nadu,29,27,1,1
12571,28/03/2020,Tamil Nadu,40,37,2,1
12572,29/03/2020,Tamil Nadu,42,39,2,1
12573,30/03/2020,Tamil Nadu,50,45,4,1
12574,31/03/2020,Tamil Nadu,74,69,4,1
12575,01/04/2020,Tamil Nadu,124,119,4,1
12576,02/04/2020,Tamil Nadu,234,227,6,1
12577,03/04/2020,Tamil Nadu,309,302,6,1
12578,04/04/2020,Tamil Nadu,411,404,6,1
12579,05/04/2020,Tamil Nadu,485,476,6,3
12580,06/04/2020,Tamil Nadu,571,558,8,5
12581,07/04/2020,Tamil Nadu,621,608,8,5
12582,08/04/2020,Tamil Nadu,690,664,19,7
12583,09/04/2020,Tamil Nadu,738,709,21,8
12584,10/04/2020,Tamil Nadu,834,805,21,8
12585,11/04/2020,Tamil Nadu,911,859,44,8
12586,12/04/2020,Tamil Nadu,969,915,44,10
12587,13/04/2020,Tamil Nadu,1075,1014,50,11
12588,14/04/2020,Tamil Nadu,1173,1104,58,11
12589,15/04/2020,Tamil Nadu,1204,1111,81,12
12590,16/04/2020,Tamil Nadu,1242,1110,118,14
12591,17/04/2020,Tamil Nadu,1267,1072,180,15
12592,18/04/2020,Tamil Nadu,1323,1025,283,15
12593,19/04/2020,Tamil Nadu,1372,992,365,15
12594,20/04/2020,Tamil Nadu,1477,1051,411,15
12595,21/04/2020,Tamil Nadu,1520,1046,457,17
12596,22/04/2020,Tamil Nadu,1596,943,635,18
12597,23/04/2020,Tamil Nadu,1629,949,662,18
12598,24/04/2020,Tamil Nadu,1683,911,752,20
12599,25/04/2020,Tamil Nadu,1755,867,866,22
12600,26/04/2020,Tamil Nadu,1821,838,960,23
12601,27/04/2020,Tamil Nadu,1885,841,1020,24
12602,28/04/2020,Tamil Nadu,1937,812,1101,24
12603,29/04/2020,Tamil Nadu,2058,865,1168,25
12604,30/04/2020,Tamil Nadu,2162,925,1210,27
12605,01/05/2020,Tamil Nadu,2323,1038,1258,27
12606,02/05/2020,Tamil Nadu,2526,1186,1312,28
12607,03/05/2020,Tamil Nadu,2757,1387,1341,29
12608,04/05/2020,Tamil Nadu,3023,1614,1379,30
12609,05/05/2020,Tamil Nadu,3550,2110,1409,31
12610,06/05/2020,Tamil Nadu,4058,2540,1485,33
12611,07/05/2020,Tamil Nadu,4829,3278,1516,35
12612,08/05/2020,Tamil Nadu,5409,3825,1547,37
12613,09/05/2020,Tamil Nadu,6009,4364,1605,40
12614,10/05/2020,Tamil Nadu,6535,4667,1824,44
12615,11/05/2020,Tamil Nadu,7204,5198,1959,47
12616,12/05/2020,Tamil Nadu,8002,5898,2051,53
12617,13/05/2020,Tamil Nadu,8718,6523,2134,61
12618,14/05/2020,Tamil Nadu,9227,6987,2176,64
12619,15/05/2020,Tamil Nadu,9674,7368,2240,66
12620,16/05/2020,Tamil Nadu,10108,7438,2599,71
12621,17/05/2020,Tamil Nadu,10585,6973,3538,74
12622,18/05/2020,Tamil Nadu,11224,6974,4172,78
12623,19/05/2020,Tamil Nadu,11760,7273,4406,81
12624,20/05/2020,Tamil Nadu,12448,7469,4895,84
12625,21/05/2020,Tamil Nadu,13191,7222,5882,87
12626,22/05/2020,Tamil Nadu,13967,7591,6282,94
12627,23/05/2020,Tamil Nadu,14753,7527,7128,98
12628,24/05/2020,Tamil Nadu,15512,7918,7491,103
12629,25/05/2020,Tamil Nadu,16277,7842,8324,111
12630,26/05/2020,Tamil Nadu,17082,8233,8731,118
12631,27/05/2020,Tamil Nadu,17728,8259,9342,127
12632,28/05/2020,Tamil Nadu,18545,8503,9909,133
12633,29/05/2020,Tamil Nadu,19372,8679,10548,145
12634,30/05/2020,Tamil Nadu,20246,8779,11313,154
12635,31/05/2020,Tamil Nadu,21184,9024,12000,160
12636,01/06/2020,Tamil Nadu,22333,9403,12757,173
12637,02/06/2020,Tamil Nadu,23495,10141,13170,184
12638,03/06/2020,Tamil Nadu,24586,10683,13706,197
12639,04/06/2020,Tamil Nadu,25872,11348,14316,208
12640,05/06/2020,Tamil Nadu,27256,12134,14902,220
12641,06/06/2020,Tamil Nadu,28694,12700,15762,232
